name,DIFF,LipidIon,LipidGroup,Class,FattyAcid,FA1,FA2,FA3,FA4,IonFormula,CalMz,RT-(min),QCRSD,Fold Change,P-value,VIP,AdSemetab1,AdSemetab10,AdSemetab2,AdSemetab3,AdSemetab4,AdSemetab5,AdSemetab6,AdSemetab7,AdSemetab8,AdSemetab9,MaSemetab10,MaSemetab11,MaSemetab12,MaSemetab14,MaSemetab3,MaSemetab4,MaSemetab5,MaSemetab6,MaSemetab7,MaSemetab9,OaSemetab1,OaSemetab10,OaSemetab2,OaSemetab3,OaSemetab4,OaSemetab5,OaSemetab6,OaSemetab7,OaSemetab8,OaSemetab9,QC1,QC2,QC3,QC4
NEG190,Y,Hex2Cer(d32:0)+HCOO,Hex2Cer(d32:0)+HCOO,Hex2Cer,(d32:0),(d32:0),,,,C45 H86 O15 N1,880.6002975,10.17986949,0.020822429,0.679963246,0.031150611,1.071504506,903446.2056,1828726.926,919868.0049,772391.8388,779525.0908,1459521.962,2579966.172,1852595.776,1467245.739,1918947.177,1214516.206,993999.1769,797881.2558,1203531.541,1058374.179,981996.1316,1055012.158,1016236.323,737454.8344,788385.634,1778651.563,1669383.768,1836017,1867844.609,1844658.468,2704903.04,1354871.567,1379918.895,1375180.376,1418229.829,1677494.819,1730471.544,1648051.505,1669492.436
NEG234,Y,LPC(16:0)+HCOO,LPC(16:0)+HCOO,LPC,(16:0),(16:0),,,,C25 H51 O9 N1 P1,540.3306955,1.771931275,0.016849234,0.707927981,0.038803727,1.5772793,2559382.895,3676018.938,3066370.772,1665507.451,1667156.231,3091896.21,4435236.351,3104661.129,3564205.435,5850646.024,2350581.306,2918179.424,2129370.869,3455621.135,2095911.467,2157863.593,2137296.583,2407712.027,1649071.45,1834244.157,2979723.906,2811774.575,5270542.963,4859708.177,4950652.979,6681316.641,3706201.236,3775464.242,3632805.349,3697471.34,4035379.534,4008738.736,4043330.882,3897770.609
NEG247,Y,LPC(18:0)+HCOO,LPC(18:0)+HCOO,LPC,(18:0),(18:0),,,,C27 H55 O9 N1 P1,568.3619955,2.462414162,0.009753122,0.714063689,0.048847281,1.342378609,2365681.44,2995438.09,2452204.388,1137260.074,1128874.199,2785243.552,4367691.984,3017602.513,2612384.011,4375916.325,2078936.212,2285413.603,1807207.19,2781683.323,1820566.332,1799421.77,1865933.315,2036567.957,1354491.062,1619657.773,2889609.876,2253049.738,3291692.133,3270200.123,3600427.916,4411877.901,2102917.989,2123575.541,2093780.678,2107939.981,3101793.867,3082833.444,3032578.346,3086122.607
NEG252,Y,LPC(18:1)+HCOO,LPC(18:1)+HCOO,LPC,(18:1),(18:1),,,,C27 H53 O9 N1 P1,566.3463455,1.858894567,0.022491105,0.67321736,0.003530533,1.057126573,849639.2432,1620702.253,1520712.494,795109.7098,791038.7059,1359410.934,1711071.563,1175557.876,1198567.16,1511517.878,1094927.509,995807.3832,987630.0115,1040706.454,709815.4438,715036.9607,697466.7415,787313.7766,639058.8824,769890.708,1125090.532,840583.6641,1468952.101,1506075.193,1463349.208,2013103.718,942742.6655,920841.5108,927735.5116,980778.3465,1366501.195,1349545.045,1383588.81,1312402.169
NEG307,Y,PA(44:6)-H,PA(44:6)-H,PA,(44:6),(44:6),,,,C47 H80 O8 N0 P1,803.5596315,9.169741654,0.009371019,1.43699769,0.007749444,1.787439883,1704407.61,3914737.402,2690252.662,1479229.055,1458663.206,3122247.517,3556892.557,2915591.107,2469522.195,5317691.605,4037857.858,4965863.544,3522217.213,4932181.181,4380910.42,4143036.523,4214759.632,3388889.887,3844677.088,3709751.106,2905409.057,3766563.714,5246358.412,5270445.855,6430421.126,7510143.273,6179103.404,5992241.367,6275144.277,6178190.532,4844777.333,4771616.71,4822272.736,4747035.73
NEG345,Y,PC(16:0_18:2)+HCOO,PC(34:2)+HCOO,PC,(16:0_18:2),(16:0),(18:2),,,C43 H81 O10 N1 P1,802.5603605,9.168641378,0.007418459,1.456032397,0.004267631,2.753956408,3782012.018,8597848.268,5920980.443,3264987.871,3262612.551,6874615.213,7865271.765,6396451.989,5481796.534,10903919.61,8799872.498,11147462.71,7801719.218,10938475.28,9522538.962,9167809.249,9238206.165,7542640.791,8520388.652,8105228.978,6457431.127,8192884.566,11640780.71,11754403.01,13955774.62,16687372.42,13682427.66,13306223.03,13798360.87,13698558.45,10682762.01,10518856.72,10589565.46,10515799.31
NEG374,Y,PC(18:1_18:1)+HCOO,PC(36:2)+HCOO,PC,(18:1_18:1),(18:1),(18:1),,,C45 H85 O10 N1 P1,830.5916605,10.32388535,0.018102683,1.293641261,0.045323411,2.249773369,4993498.927,10308187.23,7721133.379,3552464.321,3511362.986,8871835.488,11055057.49,7830158.546,5502355.745,12654948.71,10286128.98,10684961.2,10073018.05,9290065.241,10001840.71,10560481.84,10218502.2,7865792.326,9368968.763,9968273.821,9790382.257,8424759.699,9713971.634,11128497.39,14693042.2,12915476.09,11038426.22,10906606.75,10329457.67,11584627.63,11654504.26,11318540.8,11812255.39,11517103.7
NEG381,Y,PC(18:1_18:2)+HCOO,PC(36:3)+HCOO,PC,(18:1_18:2),(18:1),(18:2),,,C45 H83 O10 N1 P1,828.5760105,9.287542839,0.009489185,1.586422454,0.002345637,1.414988576,757687.6276,1716418.24,1337052.943,538549.3584,545175.3053,1607554.975,1702355.191,1289145.655,967166.5597,2441814.056,1824347.767,2517073.355,1711181.581,2506426.404,2202879.383,2081173.967,2149269.646,1761165.188,2003796.705,1712167.877,1463779.988,1723460.248,1967090.92,1942876.496,2696763.559,3676163.702,2632836.254,2611243.667,2629168.272,2650233.775,2288928.253,2257422.004,2274332.904,2239140.548
NEG464,Y,PC(18:0_22:5)+HCOO,PC(40:5)+HCOO,PC,(18:0_22:5),(18:0),(22:5),,,C49 H87 O10 N1 P1,880.6073105,10.21855859,0.013945255,0.691930336,0.039992211,1.044996551,857466.3069,1938906.146,934791.3888,818217.9349,819460.9044,1512183.643,2676612.566,1904024.438,1596392.192,1888040.154,1301800.717,1046600.33,771446.7922,1326184.128,1082804.593,1051182.326,1087494.623,1046728.354,768528.599,858886.5433,1878018.808,1794693.517,1886086.261,1930628.033,1842596.348,2820569.5,1478471.319,1439992.31,1464207.245,1476183.992,1763577.261,1764418.605,1751912.091,1712568.568
NEG681,Y,SM(d34:1)+HCOO,SM(d34:1)+HCOO,SM,(d34:1),(d34:1),,,,C40 H80 O8 N2 P1,747.5657795,8.664908609,0.010438937,0.677308415,0.00016672,2.311927151,4072108.957,6485218.273,5465448.761,4833098.39,4855410.854,6529180.038,7330844.973,5214895.008,4066452.814,5640421.23,4066421.554,4303636.573,4212770.368,4209817.387,3292816.265,3444608.634,3288323.683,3078074.332,3243810.95,3768341.404,4260608.616,3098479.531,4219759.289,4292861.995,3544190.824,5825080.519,3738036.248,3522617.887,3673143.111,3506682.61,5051471.159,5051792.339,5052509.187,4947002.021
