KO_ID,AdSa1,AdSa2,AdSa3,AdSa4,AdSa5,AdSa6,AdSa7,AdSa8,AdSa9,AdSa10,AdSa11,AdSa12,AdSa13,AdSa14,AdSa15,MaSa1,MaSa2,MaSa3,MaSa4,MaSa5,MaSa6,MaSa7,MaSa8,MaSa9,MaSa10,MaSa11,MaSa12,MaSa13,MaSa14,MaSa15,OaSa1,OaSa2,OaSa3,OaSa4,OaSa5,OaSa6,OaSa7,OaSa8,OaSa9,OaSa10,OaSa11,OaSa12,OaSa13,OaSa14,OaSa15
K00001,208.9532658,103.0329105,183.5421301,238.1425501,161.9469359,274.4414705,402.1320937,379.3564748,430.3824532,344.4214676,219.2646128,207.0192275,90.21017276,163.9786554,164.9059221,437.3794233,127.1524024,500.5515611,146.2413352,430.1750035,358.1912059,381.9722492,333.0030606,259.2444532,171.3360139,458.259557,392.1712797,611.5130649,589.3228978,353.1500006,794.5281673,223.1428493,480.7021992,281.048333,365.5935799,273.0719723,336.3221486,246.3769446,286.1488669,311.3132913,416.7420016,367.3650962,301.1614247,448.5594523,292.7243888
K00002,11.03210269,3.811337404,21.8357112,17.60461372,0,6.392411816,0,0,1.549543107,0,29.96466063,24.73800831,0,0,0,2.940642772,1.119221112,34.52522297,6.385258311,23.0748303,0,38.47246737,8.715884916,6.301923382,12.46313784,2.994908334,1.160916493,0,15.89868009,21.40416896,41.30211317,1.338589622,12.47615442,21.33652303,31.81404792,31.06894764,0,5.420594703,1.311008083,51.36031493,0,7.298840305,29.41813037,0,3.309819337
K00003,1974.951557,2219.61794,2209.276911,2509.74714,2050.898487,2189.553708,2309.72136,2359.526431,2303.17311,2461.005109,2319.756174,2563.180871,2662.386505,2560.809594,2483.601466,2575.633616,2969.912747,3792.84798,2705.022629,3683.956311,2941.615156,4154.646551,2971.900123,3636.086201,3076.663344,2805.68401,2932.804542,3745.725904,3169.228291,2358.460541,3039.880094,3031.880941,3080.229302,3661.56596,2435.569555,3038.822976,3007.174338,3781.863515,2814.247809,2623.760766,3648.238175,3052.898056,2495.343439,3772.229142,4237.768344
K00004,675.5650345,992.8639285,559.5881877,831.5112111,800.6785356,897.572082,818.2769718,817.4792244,850.6245241,1197.379842,712.8452046,944.9471529,1598.162359,1488.643849,1457.63507,1187.612494,2018.352498,1785.574217,1257.462034,1308.862675,2252.582783,2673.87499,1667.460773,2611.897954,2554.836526,1295.664016,1943.226543,2634.139264,901.2997085,814.1578872,1003.925649,1996.514265,1015.012934,2374.347114,1267.851109,1521.273887,1995.249167,2506.189864,1318.949412,524.9563039,1988.449356,1574.141234,1097.808447,2389.785761,2721.655862
K00005,366.9791231,427.2375054,881.6283809,588.2325109,144.9833583,43.39758429,91.50925244,136.2809843,470.1955353,56.79236413,450.9707232,303.1941214,92.22830111,136.5402919,179.1175624,719.1497576,304.1326457,493.6649152,307.2546219,560.3924946,130.0256023,196.8613407,152.1187663,320.9935769,595.8482824,506.8012463,339.9884704,155.7618814,709.0297645,682.6320429,881.2118793,400.0700155,279.2139192,564.6952917,635.0339073,276.6737854,448.8849438,493.0058174,275.7143152,730.8050961,479.1969603,460.0657909,469.3431631,587.3674798,530.5297553
K00006,0,5.215514342,0,0,0,5.831673938,0,14.36587621,0,0,0,0,0,0,0,0,0,0,0,0,9.753821178,8.797492731,0,0,0,0,0,0,20.81017166,8.244995877,0,7.327016877,119.969849,0,0,0,0,0,0,0,0,0,0,0,7.142241727
K00007,44.5099333,60.17172812,64.49286776,48.07351079,17.89328812,4.212176151,13.04371194,15.49181759,136.7625955,49.56504102,52.98954684,20.04712487,21.31240484,32.35067119,28.94893979,300.2046427,72.70515035,15.20007001,76.83503323,340.2851361,54.35175499,71.6016874,10.10922317,129.9897258,63.47922344,100.2321815,124.7812706,7.273602176,177.8152948,180.3438407,76.83504884,32.99844438,52.37007181,28.80712818,29.66569434,23.78984004,49.86143121,9.232235845,15.26490028,25.95365166,34.37297666,55.66388233,35.01017659,107.8854347,25.02426983
K00008,253.890574,170.4177497,435.8093895,244.9247508,118.1357836,170.6691252,141.6477871,151.0377098,273.6098878,30.29502258,209.9106946,229.4084398,99.97980662,153.9545894,37.80578912,207.5643398,236.4316415,497.3646464,250.0694931,853.0319365,207.9183558,258.6965432,176.9106744,362.0104029,315.1727816,276.7296121,319.2755185,66.20817483,1190.116442,823.4666631,501.8541471,269.2178757,904.6075025,598.1081823,615.9004215,540.4383251,226.6092722,271.2422504,217.6372313,716.2064933,182.8775613,376.6125295,579.2102123,309.9856754,733.321177
K00009,280.0717889,188.7253479,241.7849808,234.3116355,130.6212549,60.35458563,108.6916861,109.8591508,244.212024,168.7264023,182.7825267,219.714893,86.03676885,357.3312066,101.8017416,300.7371432,243.6418454,429.3143765,366.6908402,510.7611119,365.9874753,493.6787984,214.4099784,518.8873818,704.4206309,399.9480439,471.6436117,206.9923837,869.5775548,468.8793839,429.2201722,200.446354,511.3677576,292.8547581,465.0929708,296.8263191,233.8529031,257.0117508,243.8308202,300.3626321,410.3737768,425.2009955,258.3345886,284.5513922,316.1134349
K00010,265.2788887,425.6989664,484.1913701,281.0143878,231.0369203,248.325647,257.7625608,371.8033212,643.710388,349.7444926,227.112269,302.5360841,247.3151061,416.1225757,335.3216182,550.9198929,624.4525827,839.2771853,1326.183334,992.6092389,1148.672079,1030.074997,477.5793963,835.5780727,1011.473643,853.9471479,934.9101178,395.3494021,1325.491851,657.0788852,578.5408904,561.8399946,720.6931519,867.3297065,1127.058328,422.3853879,754.9091503,716.2087179,407.6257599,458.2110055,756.8971992,736.8017935,678.2419052,922.0974582,874.4833399
K00012,7344.079716,7876.106916,5867.521635,6801.985316,7896.190341,7890.978187,8196.684161,7366.51729,7908.164968,7901.175984,7315.480428,7386.189468,8909.486643,8279.61482,8590.987021,6372.424472,7811.269813,8010.746714,6267.863478,7181.000685,7053.127398,7187.539721,7433.140499,8943.055794,7411.232295,6220.17048,7360.718815,9124.767349,6161.682299,6613.550197,6507.375346,7725.190431,6184.871455,7413.962846,5387.725961,8030.388871,7672.825574,7562.231539,8271.335906,6395.050074,7298.092556,7239.934945,6835.850573,7413.5411,8980.329952
K00013,2517.963398,2668.789127,2347.804039,3258.000227,3129.015994,3250.117737,3529.771727,3507.989895,3384.674979,3554.343486,2658.347764,3257.353479,3170.981105,3465.735921,3134.040812,3330.243957,3427.76364,3979.157199,4539.978306,4630.857453,5138.746738,5831.72064,3870.837638,4317.891984,4154.750934,3946.802734,4003.164979,4117.264609,3663.184405,2943.732055,3582.193621,3627.003176,3776.858664,4187.18291,3394.950315,4125.412733,4048.408344,4690.796076,3519.892139,2685.48278,4575.860933,3849.684612,2927.012042,4766.618092,5269.349547
K00014,8676.172655,8886.508739,7772.397961,8328.856117,7934.465285,7740.972954,7697.666664,7854.145519,8896.671463,7932.230504,8014.410052,7762.239121,8053.347052,9084.990675,8581.754012,8004.617435,8895.700105,8365.12308,10593.56185,8851.247047,10640.67729,11606.63523,8101.718646,8658.780289,9567.966912,9253.3224,9153.768673,8645.962769,8102.621112,7957.265645,7865.502351,8761.90402,5747.358536,8848.703045,7796.383504,7980.205324,9573.534168,9291.437988,8678.821317,7187.814168,9276.088565,8883.339778,8047.282336,9994.667771,9300.40993
K00015,437.6158996,414.7475268,699.0896582,474.5007385,253.6331363,203.6743927,173.7342563,199.4653883,128.4178383,353.2813595,740.6464437,334.445097,539.547351,243.4076692,126.815911,367.8028664,237.4229818,672.1200785,193.712504,567.3904993,140.8282432,358.9016082,316.1165553,285.4457026,426.3191171,270.4680725,409.0347739,307.5140062,696.0817265,790.0556856,751.7951168,475.6042692,785.9478242,764.7434374,331.5444348,628.9387285,148.93975,524.0506651,262.5160926,1454.785558,230.1518158,326.9236096,1195.446696,588.7628366,922.639894
K00016,844.2777268,611.880367,1108.103005,1142.330799,680.5775931,919.5843734,1274.634857,1083.705405,799.8909146,1301.843608,704.2567496,1108.925821,944.8896801,956.5023171,675.3353481,1197.692444,1696.589498,2732.119363,1268.590261,2365.806904,1184.932009,1953.10902,1739.362336,1869.637682,1169.220382,1292.2665,1339.74812,2096.715624,2561.001274,1862.1157,1731.159938,1117.40617,2417.916769,1641.494979,1188.007927,1582.637378,1177.265281,1989.300515,951.0977506,1401.141001,2400.580927,1440.744506,1390.428406,2636.272986,2500.846811
K00018,2275.691611,2118.488542,3085.960637,2572.92315,1367.477161,1222.787729,1105.794597,1455.238929,1570.024356,1521.288237,2106.386788,1543.156767,2232.320065,2136.926585,2182.454327,2535.069817,2408.865329,1821.492851,3231.423811,2769.932897,3858.729544,3800.219689,2298.451697,3094.944351,3728.917971,2943.528549,2962.14587,3324.875297,1734.885487,2591.760921,2613.501928,2949.501576,1783.934436,3114.513077,2835.490909,1789.206612,3236.323526,3478.138828,2302.685058,1970.328716,3262.272783,3482.780242,2165.034406,3334.667124,3168.635208
K00019,489.6601361,435.3264337,229.8907877,394.5725384,851.0532035,994.4549886,664.9670944,744.6024292,1035.007642,645.9027855,408.5160811,788.9588749,566.136816,618.8537549,579.5865242,820.4212215,251.6035049,442.4493574,363.4867099,750.95211,720.8620943,479.5800677,687.2579498,334.7544155,234.4050045,572.1122857,442.7672233,359.1104389,186.6068254,199.9047872,659.172711,472.76326,1113.5666,426.2775213,148.8711343,1011.134456,540.035962,316.1892483,449.4115604,326.6397279,588.2468139,285.6707115,357.507989,512.1384826,1081.145686
K00020,1167.923505,993.229713,607.8738683,1180.772562,1418.811938,1355.279462,1647.316277,1759.996863,1430.138537,1458.729287,1180.036006,1345.579178,1200.643073,1186.067311,1182.296218,1614.751942,1431.822037,2000.382723,1234.42555,2300.512856,1460.26994,2187.174586,1562.224754,1268.839536,1155.858125,1157.478311,1233.266355,1928.740128,1729.877331,755.7781702,1594.719998,1096.890229,1720.692332,1256.419621,941.123388,1636.077497,1350.919385,1271.823434,2156.920171,840.9774678,1580.395534,1392.865297,1128.314786,2169.159388,2405.256407
K00021,54.70152206,21.18654197,31.91168269,55.07631759,82.51529308,104.4491024,32.63770903,37.22154219,194.5184773,17.62173242,31.65754558,80.86491886,63.3700917,63.18916128,15.71400248,143.7553043,27.04469327,140.5610878,49.72222054,98.03493914,113.6721756,45.490537,102.1246414,48.84474526,29.80605222,207.5578312,101.6203655,30.8881663,100.3429027,55.22385842,314.2987407,63.36781786,193.4792225,149.3494525,37.51302834,162.9669159,58.63026667,61.16796881,35.76242265,186.2067412,97.34356149,31.21521915,80.00011534,16.48980925,124.9914596
K00023,336.9960737,408.5250128,286.4854191,405.1380661,552.4667387,638.2605969,592.0466923,499.0656465,1564.779578,376.3483097,300.7459458,529.7881975,575.9943418,454.6708789,326.9964422,799.8790722,250.3813516,446.1384328,264.941842,834.5706366,467.3830727,218.6236967,363.5967002,259.9567212,124.0306018,851.7755958,558.6089324,335.4336482,218.8813582,357.0424736,703.9588882,355.9222102,635.9258128,398.3402179,129.3734231,561.4576709,546.3890093,137.8634749,612.9859555,419.2293233,463.4239734,333.6635549,420.7953185,316.5409919,628.4787866
K00024,6060.182001,5935.432987,5204.608223,5669.195875,5336.773773,4900.449841,4856.404625,4989.132621,5284.023255,4906.770644,5735.039001,4904.959294,5606.581162,5604.643618,5979.637875,4890.682129,5135.277762,5545.221696,5642.406747,5505.662097,5704.240647,6750.742865,5019.776382,5036.696545,5383.284159,5365.241236,5535.335563,5133.096876,4777.912381,5028.266544,4881.928998,5257.030115,4688.693039,4702.109115,4221.388489,5219.290966,6118.033635,5039.839946,6059.997749,4076.478737,5009.119592,5209.799268,5038.841011,5596.302793,6236.610468
K00026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.730804885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00027,1647.452218,1197.021995,2762.508584,1525.754527,889.4775737,1087.553162,1015.933164,849.9313007,1196.098442,723.2192926,1546.810886,1292.702814,809.5410102,697.8806089,309.5270571,1584.586691,740.5095494,1630.288189,977.9901113,1936.195733,1002.108924,1667.022455,1067.606674,1025.441332,1377.213362,1005.649363,1023.028354,1307.745796,2934.424812,2079.328266,2017.107455,1233.396476,2422.425896,1786.586107,1674.467036,1762.913755,821.8971658,1106.025025,722.7723665,2622.677946,1313.340277,1649.631087,1879.166264,1455.163951,2027.962552
K00029,6992.928938,7743.294075,4718.691373,6542.267205,7323.102549,6850.379333,6779.567117,6599.103727,7611.561626,6574.784132,6476.2932,6455.986763,7713.103357,7890.370469,7795.247799,6168.335107,6455.815554,6681.639063,5973.898076,5927.357281,7248.48671,6112.635554,6204.608501,6428.061974,5980.353386,6289.786448,6557.457554,6584.903013,2510.38603,3997.226683,5391.027572,6298.577846,4243.875854,5799.689494,4399.651456,6436.847049,6994.083791,4993.529756,8299.82639,3270.48083,5207.60957,5548.627552,4886.004176,5113.50544,5403.35734
K00030,190.4471305,161.1881124,206.5072462,91.87238929,63.70215242,67.9311793,116.2195739,111.8892519,612.3346389,44.68209854,187.6533304,125.3651863,131.5325128,131.7951142,131.7436147,248.8297172,115.8769985,159.0766979,67.36585331,124.1260219,106.9741951,92.77530017,84.67216032,102.6347519,120.4468396,241.1130985,92.04026894,79.20409443,339.7003726,282.2397041,200.2445091,160.5026545,290.4501347,326.0648441,234.4033328,179.5720376,176.2848366,200.3664447,85.45976278,335.7956584,243.2402323,149.6007296,187.1646645,209.8889136,356.2314205
K00031,5429.813501,7456.291325,3429.827105,5496.66193,8361.926018,8923.843034,8814.604701,8421.444429,9399.435784,8698.793011,6293.034759,8153.749119,8815.557344,9575.234321,9044.92385,6180.055789,8271.704911,9205.047029,8853.253951,7270.609573,8733.916667,8992.229365,7701.605402,7887.604915,7728.146142,7235.608119,8417.128455,8211.325057,4626.255324,3996.440581,5266.384119,7211.010139,6712.168886,7049.009629,5121.650517,8270.971038,8076.811715,7106.374726,8251.125685,3462.914453,8259.566265,5821.746117,5891.916133,7482.146995,9186.780361
K00033,2656.809981,2248.250264,3023.574456,2692.052811,1886.257249,1991.143582,2326.613833,2211.11776,1965.893472,2357.714735,2075.610932,2171.457043,2012.327449,2321.319251,2045.300122,2457.026525,3402.678457,3190.927796,4897.64174,4313.92143,5027.283379,5972.32959,3535.609349,2894.930385,3628.197633,3129.589259,3201.535764,3497.083968,4060.97349,2917.726394,2908.895983,2997.599361,4072.805416,3768.488645,3393.283475,3292.549879,3551.992782,5066.923049,2446.933151,2111.047269,4780.994872,3702.054564,2617.466414,4904.019111,5991.051628
