KO_Pathway_Level3,AdSa1,AdSa2,AdSa3,AdSa4,AdSa5,AdSa6,AdSa7,AdSa8,AdSa9,AdSa10,AdSa11,AdSa12,AdSa13,AdSa14,AdSa15,MaSa1,MaSa2,MaSa3,MaSa4,MaSa5,MaSa6,MaSa7,MaSa8,MaSa9,MaSa10,MaSa11,MaSa12,MaSa13,MaSa14,MaSa15,OaSa1,OaSa2,OaSa3,OaSa4,OaSa5,OaSa6,OaSa7,OaSa8,OaSa9,OaSa10,OaSa11,OaSa12,OaSa13,OaSa14,OaSa15
ko00010,185934.2775,184534.097,180895.4944,172863.1598,166044.6248,162428.2072,168690.3274,165246.7633,176778.6178,164751.6984,174979.7703,165147.1996,166441.973,173680.5615,167676.9185,168448.6604,174943.6164,191740.5145,175605.8921,179461.5836,175286.7069,186004.4599,168879.9127,169043.364,176894.6712,165761.9674,171059.6198,164640.0069,174065.2927,174670.3417,175763.6698,174239.0113,173861.2908,182131.8518,165023.003,173619.7864,185188.07,175125.8416,179540.572,179490.6376,181534.8794,179484.0359,179291.7816,182375.9173,197586.3944
ko00020,140721.1099,149133.7514,122280.8347,134210.585,148399.7659,145033.6813,146971.8684,143497.8653,152756.1941,140972.7894,137624.1483,134810.4162,143266.8335,150830.593,149250.0478,131121.5448,139913.7003,156141.2257,141297.0508,149701.6629,147868.441,152814.4314,138111.5971,141282.2058,136979.6133,133762.7878,142762.1857,137033.2523,130952.0307,127106.6584,130079.0427,140278.3993,142181.1167,139126.9814,118274.9906,148988.3496,146061.0398,134089.3706,147645.6962,123080.8154,137563.0234,133187.4032,135151.5072,143254.4696,162416.8492
ko00030,106205.2905,102157.5091,107923.0422,102412.8041,93164.4944,93787.30072,94660.66924,92637.4761,88795.28822,91840.51749,98803.40892,96264.8749,92754.80634,96573.1317,88802.93208,95375.98213,96449.04999,100991.3501,106799.5879,105445.8284,108689.6192,113079.8937,101087.9376,93821.28113,104546.5922,96257.09602,96671.84543,93432.05118,105626.3141,107591.6572,101039.0799,97263.39938,103369.0886,107075.198,97463.12694,103623.6918,103445.5425,107310.0838,95459.30017,103751.7085,107602.9238,105562.1315,101983.312,108067.1796,119343.6593
ko00040,26108.13211,25027.83672,26108.80754,25404.08479,22994.98406,23902.20814,23627.50923,23919.40915,24421.61626,24741.22502,26132.57463,25822.69873,24423.59817,25269.11924,23548.67133,25690.19241,26884.55849,34642.10866,28940.20847,36836.31428,32578.42053,31940.04307,29358.60723,29867.31349,32474.33105,27461.93195,29653.87658,28986.71191,40229.31857,36461.74872,31196.31285,26498.98111,33754.19472,33274.05297,29383.57757,31579.98803,27170.36085,32842.71535,25257.01841,31464.49524,31981.73132,31065.87635,30977.78975,32238.72632,36900.18856
ko00051,92189.50984,88567.07565,91853.83676,85731.43641,75944.86644,77254.2315,77737.40205,77495.95026,79569.47851,76595.88812,83305.59516,81361.49173,75918.70261,82613.18606,73142.17888,83565.2683,87117.49958,91684.71605,104594.4378,98878.59211,107280.1573,111320.7841,93139.57122,83082.96044,98175.0735,90202.84435,91811.18733,79285.29837,105422.3514,101982.4052,88169.80445,87338.22928,86084.21989,92574.57824,93613.6363,89924.20249,95000.81648,100408.9628,82829.59262,90440.86263,97188.80159,99217.00315,93077.30545,97303.68141,101466.8983
ko00052,58426.33539,53340.09413,64910.2747,56844.98364,45770.90191,49899.37298,48517.23628,49310.39077,49023.38972,55098.04727,55671.44071,57064.94777,49474.19316,52376.02148,46473.09437,56290.66655,61565.08128,71307.15387,74030.67652,71514.32793,72244.78346,82076.81326,69022.1968,59423.46432,69889.72711,60552.77449,63198.5222,60467.39573,80088.26056,79726.82646,66473.29281,59464.80536,69278.66712,68034.28802,69600.68112,66489.64081,65587.90317,76023.40419,52468.84604,68755.65793,78743.12178,71387.21128,66239.15545,74884.27301,82957.51325
ko00053,18465.44194,20272.41486,16066.75174,18437.5312,20854.94864,20846.64581,20346.75038,20143.95919,21536.11625,19052.49868,18692.25627,20215.94151,18581.7383,22537.81495,21593.77832,17890.37491,20807.05045,21325.27221,21022.64674,22822.71188,26451.57878,24630.79714,22937.58697,23519.78855,23458.33906,20423.02363,21538.22509,21831.17265,21583.18582,18624.63437,18649.45853,17127.83079,18203.00044,19110.99311,18232.04895,21337.90238,19597.04176,19939.50496,19573.97748,15080.103,22251.29154,19899.54939,16583.40595,21278.61284,23423.38849
ko00061,110307.6417,116466.8864,97407.62686,109270.3506,120172.979,119523.6219,117410.1395,124871.6741,119591.2474,120033.082,107831.8485,112581.688,113836.7197,118542.1269,118460.9307,108532.8968,112552.5392,110505.1194,116583.6539,111045.7956,121940.6531,123061.4368,112805.7644,106568.4461,109580.4072,115889.1989,112820.739,110373.6538,95760.25728,101960.0621,103171.0278,108006.4278,90000.19165,107827.673,96756.98759,110874.4788,118340.4194,115117.7126,117644.7006,94966.38286,112738.0004,108415.3659,102292.5509,108919.5624,111057.1826
ko00062,7.490085384,0,0,0,0,3.851187039,0,0,0,0,0,0,26.4825887,4.403226058,0,4.927516917,0,0,0,5.505082417,6.272500282,5.64490737,0,0,0,0,4.181350663,0,56.39663489,5.578033817,5.528150904,4.836621784,16.1286871,0,19.0190669,14.06580591,0,12.20522363,9.405463301,0,0,0,0,0,0
ko00071,45211.74747,53001.24047,33260.76542,42895.80923,56179.0775,57987.28187,58534.64118,57438.6395,60799.1796,58075.39363,46489.06324,51132.17736,58798.80445,60770.20061,59421.11579,46159.17029,56661.30171,63626.62023,53207.68563,49802.29928,63475.31879,60038.37036,57454.35971,56897.08173,50920.51002,47745.16003,54966.46755,62678.04283,37943.40392,34593.77699,44503.49933,54100.39547,50423.80266,53063.95732,40804.48338,57983.48422,58648.90438,55429.95103,60299.00644,36575.20411,56494.09266,46182.76731,45188.03717,56864.45677,65319.5256
