species,Ad,Ma,Oa
s__Chryseobacterium taklimakanense,0.07303,0.036781,0.031346
s__Moraxella pluranimalium,0.028726,0.060987,0.053018
s__[Haemophilus] parasuis,0.027161,0.052763,0.043996
s__Flavobacterium ummariense,0.021018,0.00502,0.003973
s__Streptococcus suis,0.015871,0.021753,0.015096
s__Moraxella porci,0.016658,0.014571,0.016041
s__Chryseobacterium gleum,0.000085,0.000039,0.002993
s__Rothia nasimurium,0.005868,0.017532,0.010042
s__Bergeyella zoohelcum,0.013638,0.010632,0.008833
s__Neisseria dentiae,0.006439,0.007779,0.004379
Others,0.791506,0.772143,0.810283
