KO_ID,AdFeMg1,AdFeMg2,AdFeMg3,AdFeMg4,AdFeMg5,AdFeMg6,AdFeMg7,AdFeMg8,AdFeMg9,AdFeMg10,AdFeMg11,AdFeMg12,AdFeMg13,AdFeMg14,AdFeMg15,MaFeMg1,MaFeMg2,MaFeMg3,MaFeMg4,MaFeMg5,MaFeMg6,MaFeMg7,MaFeMg8,MaFeMg9,MaFeMg10,MaFeMg11,MaFeMg12,MaFeMg13,MaFeMg14,MaFeMg15,OaFeMg1,OaFeMg2,OaFeMg3,OaFeMg4,OaFeMg5,OaFeMg6,OaFeMg7,OaFeMg8,OaFeMg9,OaFeMg10,OaFeMg11,OaFeMg12,OaFeMg13,OaFeMg14,OaFeMg15
K00001,225.1218766,271.6263304,313.9941297,186.7894244,174.3548197,509.8621906,48.13562943,1725.146597,278.7915732,786.0050685,238.939264,399.7936277,328.6100266,237.3124245,539.7965859,392.3565685,303.030447,499.2252864,189.1417289,238.038214,556.9884435,147.4821442,295.4864427,715.9579741,324.9411851,449.17441,183.3928271,366.7588314,443.8221808,370.6376365,432.501547,625.1628183,449.8285943,1090.484503,570.2607168,492.0980088,209.4107287,357.4168665,521.4771685,509.7037322,284.8072895,641.0734618,680.5051361,395.2038007,551.5420631
K00002,310.6725094,302.5075406,377.537654,386.3809904,175.9073296,386.8078883,333.9001714,276.1309184,534.4086036,346.8843387,260.7907051,214.8433086,363.7310991,399.9653273,423.5957062,189.7465072,359.2464287,388.4678474,306.7312178,259.0851476,230.2045086,375.7127254,227.0322224,272.1217605,309.2408784,187.5652868,301.8570711,230.5039705,387.3700383,466.0799329,221.2821419,253.2440522,522.2609701,237.966634,468.3655587,259.3977797,209.9538935,347.8032593,262.4026763,339.2118884,251.8681047,202.1695959,449.3234078,395.4461211,375.0252551
K00003,4699.586475,5879.271264,6729.690566,5298.094707,3793.044209,5123.083381,4446.687807,5609.144488,5391.41431,5262.249026,5581.947662,4636.977799,5104.468538,4486.421778,5343.00561,6802.375103,6474.128452,7125.228782,5407.942214,5693.843272,9304.151169,7411.001611,6323.036841,6581.699849,6923.045762,7747.304579,5705.132789,6978.903948,7791.078068,7116.634375,4989.071753,5619.040746,6428.16112,6451.770584,6155.994339,6352.69403,5994.506497,6641.991354,6430.409666,5811.370821,6492.989736,6250.745657,7240.566237,6223.473102,6422.598752
K00004,46.72417216,37.69994566,85.85257578,35.52144117,34.24815159,57.36145159,55.69749653,76.21127362,73.17334028,47.74905342,48.47914549,72.31740599,70.56563292,39.26390953,40.64323565,124.3919076,198.3941881,170.3190741,121.0637017,126.464762,1013.470444,175.8779302,200.5299457,91.55522833,469.19521,341.9288487,63.02873247,259.6912887,787.4328009,585.5917275,72.10210919,194.1096964,60.80168463,56.97225299,86.028591,131.9139745,56.33768641,608.7985907,101.3927976,43.20475656,73.99432619,56.79301852,50.9794347,84.33645002,97.90649635
K00005,726.6159814,754.1178668,849.8343456,865.6128243,817.2976874,859.8204221,500.419521,1035.568654,1634.648024,3520.194538,974.5644795,647.7202062,943.8292112,460.1701579,1156.989863,1256.29329,881.4917053,1005.567751,935.9813956,912.0231745,1002.915464,929.2013392,902.399213,1065.033791,778.4726106,1121.048205,845.2781139,860.5517313,820.5660104,978.0795733,1357.416389,1681.562403,736.0459526,1680.264244,1104.853179,1081.934748,750.9845671,692.7894029,1121.714333,786.7701747,850.9171275,1129.709281,1160.124267,1411.149927,878.189683
K00006,3.240710836,1.119603884,2.929008691,2.152805525,1.429024914,1.104187207,0,0,0,4.000080454,0,0,13.57376885,0,0,0.984493315,2.422271498,0,0,2.92204276,0,0,0.96076847,0,0,0,1.842635948,0,0,0,0,0,0,0,2.595690044,0,0,0,0,2.003283482,0.998676092,0,0,0.932538432,0
K00007,8.955890684,4.284124191,4.981220854,0.686469441,0.911352114,7.041888043,9.801335208,4.694189853,0,94.38801557,1.401395976,26.45750337,5.327132377,2.06208911,17.4219576,14.440659,6.951551392,25.25834874,6.571826725,19.87749696,5.783317806,8.015963722,3.063621802,32.9034738,6.973970337,13.04192091,6.463215463,24.03111644,5.875462378,8.042651766,1.200898893,0.585710605,3.983962201,8.196623113,3.310771682,6.054212895,0.602485598,6.850644103,4.098570135,4.471537316,3.184498601,2.064289755,3.490058185,8.326091511,8.656176493
K00008,799.2393696,1125.972568,1339.477748,1326.101191,1567.465667,1431.145025,1317.005397,1112.062747,2426.378889,1471.108991,1098.836903,1604.887256,1483.145331,1135.483026,1230.747462,1146.464047,1133.154243,1144.874431,818.5893366,1275.535631,879.1379359,1165.762614,833.0639153,1109.271482,984.1695416,1148.239105,838.9458506,1044.781978,1267.245086,1125.969039,1551.881661,1037.505871,1548.096568,854.1326984,1859.722258,1836.482766,1789.540596,1129.967548,2003.22699,1095.44616,1144.038882,1797.955328,1616.088922,1658.450038,1346.943294
K00009,488.2910853,1033.770002,668.8467414,373.1532267,578.7084565,688.4779514,373.0586232,1536.229737,682.5661171,699.3578246,594.9600558,646.3555113,796.7159204,468.4233849,670.155328,925.1488081,864.7563475,934.9287572,691.3297989,575.3041752,1780.470189,601.4721498,770.0877461,1054.573052,584.6434176,1070.590361,782.7713049,582.6251306,993.6962431,585.9423505,700.3345772,683.5315367,629.2062903,1511.94833,655.5817914,663.7683205,383.8733984,667.4512457,689.9712129,735.3924764,831.9060058,749.0506187,1159.971185,757.6873203,841.628752
K00010,716.3733481,1522.132236,1681.970719,871.6766427,679.5838211,1828.131235,1103.648331,1304.262623,1885.503396,332.2346652,1076.254239,1142.199942,1210.892112,530.4675841,877.7273546,967.63105,1833.461945,1735.519424,1345.298068,1382.553094,1470.941205,1260.253134,2769.821533,2211.044314,1235.529098,1244.119689,1462.107801,1689.60291,2683.635064,1544.873551,2284.663937,1578.847715,2366.53042,1491.693816,1965.173354,2159.845071,1421.823236,1296.027231,2205.480522,1356.466531,1145.95019,2073.562992,1334.825485,2913.901837,1111.873582
