KO_ID,Description
K00001,"E1.1.1.1, adh | alcohol dehydrogenase"
K00002,"AKR1A1, adh | alcohol dehydrogenase (NADP+)"
K00003,E1.1.1.3 | homoserine dehydrogenase
K00004,"BDH, butB | (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]"
K00005,gldA | glycerol dehydrogenase
K00006,GPD1 | glycerol-3-phosphate dehydrogenase (NAD+)
K00007,dalD | D-arabinitol 4-dehydrogenase
K00008,"SORD, gutB | L-iditol 2-dehydrogenase"
K00009,mtlD | mannitol-1-phosphate 5-dehydrogenase
K00010,iolG | myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00012,"UGDH, ugd | UDPglucose 6-dehydrogenase"
K00013,hisD | histidinol dehydrogenase
K00014,aroE | shikimate dehydrogenase
K00015,"gyaR, GOR1 | glyoxylate reductase"
K00016,"LDH, ldh | L-lactate dehydrogenase"
K00018,hprA | glycerate dehydrogenase
K00019,"E1.1.1.30, bdh | 3-hydroxybutyrate dehydrogenase"
K00020,"mmsB, HIBADH | 3-hydroxyisobutyrate dehydrogenase"
K00021,HMGCR | hydroxymethylglutaryl-CoA reductase (NADPH)
K00023,phbB | acetoacetyl-CoA reductase
K00024,mdh | malate dehydrogenase
K00026,MDH2 | malate dehydrogenase
K00027,"ME2, sfcA, maeA | malate dehydrogenase (oxaloacetate-decarboxylating)"
K00029,"E1.1.1.40, maeB | malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)"
K00030,IDH3 | isocitrate dehydrogenase (NAD+)
K00031,"IDH1, IDH2, icd | isocitrate dehydrogenase"
K00032,E1.1.1.43 | phosphogluconate 2-dehydrogenase
K00033,"PGD, gnd, gntZ | 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]"
K00034,gdh | glucose 1-dehydrogenase
K00035,gal | D-galactose 1-dehydrogenase
K00036,"G6PD, zwf | glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]"
K00038,E1.1.1.53 | 3alpha(or 20beta)-hydroxysteroid dehydrogenase
K00039,rbtD | ribitol 2-dehydrogenase
K00040,uxuB | fructuronate reductase
K00041,uxaB | tagaturonate reductase
K00042,"garR, glxR | 2-hydroxy-3-oxopropionate reductase"
K00043,gbd | 4-hydroxybutyrate dehydrogenase
K00045,"E1.1.1.67, mtlK | mannitol 2-dehydrogenase"
K00046,idnO | gluconate 5-dehydrogenase
K00048,fucO | lactaldehyde reductase
K00052,"leuB, IMDH | 3-isopropylmalate dehydrogenase"
