KO_Pathway_Level3,AdFeMg1,AdFeMg2,AdFeMg3,AdFeMg4,AdFeMg5,AdFeMg6,AdFeMg7,AdFeMg8,AdFeMg9,AdFeMg10,AdFeMg11,AdFeMg12,AdFeMg13,AdFeMg14,AdFeMg15,MaFeMg1,MaFeMg2,MaFeMg3,MaFeMg4,MaFeMg5,MaFeMg6,MaFeMg7,MaFeMg8,MaFeMg9,MaFeMg10,MaFeMg11,MaFeMg12,MaFeMg13,MaFeMg14,MaFeMg15,OaFeMg1,OaFeMg2,OaFeMg3,OaFeMg4,OaFeMg5,OaFeMg6,OaFeMg7,OaFeMg8,OaFeMg9,OaFeMg10,OaFeMg11,OaFeMg12,OaFeMg13,OaFeMg14,OaFeMg15
ko00010,190873.4228,190677.6046,195078.1286,193042.7655,178900.8719,191232.9807,166386.2771,209130.8302,194671.9185,205723.7666,184070.0328,183813.0948,189383.9757,182293.3946,193817.6142,199736.7227,201587.6036,201986.3593,192458.7681,195203.9588,212484.5432,196964.5449,206708.7244,200724.4526,198989.2002,209774.0411,199150.5603,202425.1562,200980.5903,206899.2962,210108.4631,191281.7578,196043.5124,215852.2275,204569.4976,206677.0124,198828.4942,200155.3002,211279.6335,198188.3421,198962.281,202017.9923,207228.078,192517.8451,202642.8912
ko00020,104027.439,97820.73576,104514.7517,105448.2889,101786.8661,103857.4729,88305.19905,97774.39403,103051.1801,99878.38661,95229.45438,102908.5579,102774.4472,97849.81775,98261.83408,92602.18206,103058.34,99267.92167,95558.70489,102793.8779,96235.98414,92258.78398,104481.2585,97761.26848,96956.07062,99336.78056,100302.5571,105771.3839,107623.9782,109334.5704,101226.2554,89931.04782,101974.8261,92073.16294,101624.9207,107151.7992,108004.1927,103229.8841,107275.775,105263.7188,101418.8758,100729.116,97765.20687,101557.8914,107497.2573
ko00030,124541.1668,133082.895,132686.0511,130882.1351,124270.2646,129759.841,114742.355,133608.1781,128632.6775,130480.2303,134717.839,125445.363,130705.7436,123299.8587,130897.0744,133265.4423,135324.5997,135305.6376,132444.4686,129007.7386,146218.2514,134875.0773,137939.0028,131333.3256,134680.4828,138933.8955,130441.0167,134930.5717,138370.6025,136879.137,133815.6177,136462.525,133384.4267,135353.4205,134512.6555,134221.2525,127347.351,135323.6492,138769.2009,132136.2087,136091.7995,134215.5111,133783.7948,135019.0941,138029.5767
ko00040,56867.97117,53805.54468,57231.33192,51486.87743,47644.10267,49663.63167,49839.47047,52170.91077,71273.07718,64632.97764,57047.26123,48322.62638,62786.70682,52434.90164,51177.35275,59301.21789,56782.42552,60916.4119,52218.7197,59500.95778,51753.42694,60460.54025,53142.65611,60205.91788,53284.16884,57640.53792,55736.49588,54679.57945,57916.85401,57262.3562,57258.13027,45810.26039,59250.77195,52653.6719,68973.87306,64337.54088,58236.4604,57002.84456,66919.34837,59931.09019,54181.35098,61461.35106,62488.29754,56923.08186,57493.38868
ko00051,104576.8951,98663.23287,92827.89141,102173.4104,93165.46903,91596.42445,86002.17043,116938.0998,120579.3102,129230.6388,106656.9726,94471.13143,109458.7449,92002.23559,101802.081,103092.9353,100283.4314,106354.6754,95712.69697,102316.9528,114924.4252,98247.0251,98801.82148,107812.3187,93763.95344,106429.437,100336.2887,95700.82712,104388.8791,102053.3277,119064.8065,79866.23435,96059.9401,114554.4208,112856.9642,110771.2859,101760.9301,98962.01606,113126.0907,100571.4332,97160.18824,106552.5197,114097.5174,93363.15141,99879.33564
ko00052,119607.5041,112760.4605,114055.554,109215.5605,109307.705,103720.801,98792.80646,129697.6941,149107.2489,158306.1362,120234.552,107156.5142,127913.7748,105055.2892,121813.7775,118334.8111,114306.92,122104.8107,106729.5019,118270.3803,127763.2896,116890.8771,110700.0502,119203.4773,106306.5021,122343.2921,111792.1329,111209.5577,118368.1206,117783.9443,140468.9261,101573.5525,112582.8545,132418.1067,133853.7201,132050.7343,117973.6555,110773.5392,136164.1922,110906.0724,111627.1323,124134.1699,134896.7621,115642.0695,116067.1876
ko00053,18151.29112,16260.6625,15592.81098,17108.8872,16497.21287,14412.40608,15968.59198,13867.14406,16292.69048,24385.63176,27105.46082,17700.15051,20733.99152,14701.13813,16431.35667,20962.12228,16194.51858,19311.75996,15676.25595,16924.17395,14283.58383,19671.94853,15674.49821,19586.76809,16050.02528,18342.60719,16121.47202,17435.00384,15690.66013,17949.0143,14256.35307,13932.07372,15318.59865,13219.86301,17262.32885,15682.10591,14747.82743,17135.83843,16244.7544,18104.6609,16058.58797,15169.60319,18497.69577,14742.21861,17521.81705
ko00061,69278.5198,59776.35099,59099.26947,71413.16992,63748.54085,65945.88452,56638.16873,77902.49801,82667.39356,76684.68346,67016.71973,61574.04295,69733.48498,62001.37101,69892.44236,69417.73334,70253.4882,72800.17118,68989.12729,69845.44489,71600.90786,67713.81394,69080.99768,74253.3623,68909.68883,71956.14003,73636.65352,70240.56259,77483.45076,74505.5733,79429.60824,55630.00926,73138.90497,80967.6967,72689.59734,77356.02374,70694.91299,74686.03815,77911.53844,63579.95504,67126.20728,71583.07872,75162.19657,63664.24914,66313.63719
ko00062,22.70343753,12.75462913,19.54462408,17.45786301,0,5.405102402,0,2.993809049,1.447365337,43.04558516,0,0,87.05808114,0,0,3.271140742,1.466532354,0,0,0,0,3.939249487,2.759093903,0,1.474187127,0,9.728733855,0,4.315926927,0,1.345815039,0,0,0,32.50562156,0,0,3.167399512,0,34.2054381,6.798233994,0,2.985090406,0,3.726060973
ko00071,26500.79029,26597.00907,24393.46538,26495.49514,27272.05683,27557.93403,22202.21177,29019.56699,26012.36136,28721.65511,25229.66639,29416.34358,22745.1955,25965.17844,26928.23828,32127.5663,30236.73171,31052.07593,29646.34346,27736.67963,37645.39404,28612.5726,30459.94262,29441.52766,32056.87213,33970.94133,28640.45902,34584.2183,38435.28914,40586.76597,24281.0651,25966.60728,26494.68816,27953.93124,24558.15072,26372.66877,25478.5991,35355.33309,26285.58525,27130.87291,27491.25369,25108.19444,25674.62807,24317.0574,29116.613
