species,Ad,Ma,Oa
s__Lactobacillus reuteri,0.006038,0.006781,0.014889
s__Corynebacterium xerosis,0.000933,0.014371,0.002542
s__Clostridium sp. CAG:226,0.020451,0.011619,0.00975
s__Clostridium sp. CAG:138,0.01691,0.009911,0.013837
s__Lactobacillus amylovorus,0.001708,0.005868,0.003314
s__Lactobacillus johnsonii,0.001531,0.002412,0.005457
s__Bacteroides fragilis,0.00917,0.000473,0.001323
s__Firmicutes bacterium CAG:110,0.008765,0.009576,0.017291
s__Prevotella sp. CAG:279,0.001096,0.000907,0.004041
s__Ruminococcus flavefaciens,0.001136,0.005223,0.003407
Others,0.932262,0.932859,0.924149
